stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_id
11376,11376,Victoria Park Ave at Victoria Park Station,,43.694208,-79.289374,,,,,,1,11376
246,246,Bay St at Front St West South Side - Union Station,,43.645484,-79.378997,,,,,,1,246
6932,6932,Ranee Ave at Flemington Rd - Yorkdale Station,,43.723464,-79.448054,,,,,,1,6932
5397,5397,Lawrence Ave West at Ralph St - Weston GO Station,,43.701092,-79.511712,,,,,,1,5397
5471,5471,Leslie St at Ravel Rd North Side - Old Cummer GO Station,,43.791798,-79.36829,,,,,,1,5471
5447,5447,Leslie St at Opposite Oriole GO Station North Side,,43.767866,-79.363778,,,,,,1,5447
9162,9162,Leslie St at Old Cummer Ave - Old Cummer GO Station,,43.79403,-79.369088,,,,,,1,9162
7456,7456,Woodsworth Rd at Northey Dr (East) - Walkway to Oriole GO Station,,43.7646,-79.365274,,,,,,1,7456
7204,7204,Sheppard Ave East at Leslie St - Leslie Station,,43.771847,-79.363688,,,,,,1,7204
5532,5532,Main St at Danforth Ave South Side - Danforth GO Station,,43.687857,-79.301868,,,,,,1,5532
2244,2244,Eglinton Ave East at Bellamy Rd North - Eglinton GO Station,,43.740039,-79.23221,,,,,,1,2244
507,507,Bloor St West at Dundas St West - Bloor GO Station,,43.656441,-79.452231,,,,,,1,507
5224,5224,Lansdowne Ave at Wade Ave - Lansdowne Station,,43.659323,-79.443165,,,,,,1,5224
10479,10479,Steeles Ave East at Milliken GO Station,,43.824833,-79.302471,,,,,,2,10479
353,353,Bellamy Rd North at Eglinton Ave East - Eglinton GO Station,,43.740531,-79.232292,,,,,,1,353
318,318,Bayview Ave at Sheppard Ave East - Bayview Station,,43.766792,-79.388244,,,,,,1,318
1566,1566,St Clair Ave East at Linden Ave - Scarborough GO Station,,43.717393,-79.256113,,,,,,2,1566
9618,9618,Midland Ave at Midland Station,,43.770503,-79.271864,,,,,,1,9618
776,776,Christie Station,,43.664124,-79.418567,,,,,,1,776
9126,9126,Don Mills Rd at Eglinton Ave East - Don Valley Station,,43.720012,-79.338948,,,,,,1,9126
10480,10480,Sheppard Ave East at Reidmount Ave - Agincourt GO Station,,43.783793,-79.285171,,,,,,1,10480
317,317,Bayview Ave at Sheppard Ave East North Side - Bayview Station,,43.767139,-79.387913,,,,,,1,317
1234,1234,Lawrence Ave at Yonge St - Lawrence Station,,43.725251,-79.401896,,,,,,1,1234
3218,3218,Yonge St at College St - College Station,,43.661506,-79.38324,,,,,,1,3218
841,841,College St at Queen's Park - Queen's Park Station,,43.659999,-79.390138,,,,,,1,841
235,235,Bay St at Bloor St West - Bay Station,,43.670012,-79.389721,,,,,,1,235
3335,3335,Belfield Rd at Kipling Ave West Side - Etobicoke North GO Station,,43.704813,-79.564062,,,,,,1,3335
9050,9050,Yonge St at Sheppard Ave West - Sheppard Station,,43.761686,-79.411123,,,,,,1,9050
3222,3222,Yonge St at Dundas St West - TMU Station,,43.656505,-79.381074,,,,,,1,3222
9999,9999,McCowan Rd at Bullock Dr - Centennial GO Station,,43.872507,-79.285637,,,,,,1,9999
12202,12202,Lawrence West Station,,43.715964,-79.444097,,,,,,2,12202
2519,2519,Finch Ave East at Leslie St - Old Cummer GO Station,,43.790162,-79.369075,,,,,,1,2519
266,266,Bay St at Cumberland St - Bay Station,,43.670485,-79.389669,,,,,,1,266
2136,2136,Dundas St East at Yonge St - TMU Station,,43.656426,-79.380755,,,,,,2,2136
9019,9019,Yonge St at Lawrence Ave East North Side - Lawrence Station,,43.725377,-79.402115,,,,,,1,9019
10478,10478,Steeles Ave East at Milliken GO Station,,43.824582,-79.302567,,,,,,2,10478
3213,3213,Yonge St at Bloor St East North Side - Bloor Station,,43.670773,-79.38689,,,,,,1,3213
247,247,Bay St at Front St West - Union Station,,43.645849,-79.378935,,,,,,1,247
2193,2193,Dundas St West at University Ave - St Patrick Station,,43.654679,-79.388742,,,,,,2,2193
6858,6858,Queen St West at University Ave - Osgoode Station,,43.650683,-79.386931,,,,,,1,6858
7014,7014,Royal York Rd at Newcastle St - Mimico GO Station,,43.616909,-79.498777,,,,,,1,7014
3214,3214,Yonge St at Bloor St West - Bloor Station,,43.670441,-79.386954,,,,,,1,3214
3246,3246,Yonge St at Wellesley St West - Wellesley Station,,43.665025,-79.3847,,,,,,1,3246
13644,13644,Main St Markham North at Ramona Blvd - Markham GO Station,,43.882893,-79.261892,,,,,,1,13644
3245,3245,Yonge St at Wellesley St East - Wellesley Station,,43.664812,-79.38436,,,,,,1,3245
1614,1614,University Ave at College St - Queen's Park Station,,43.659717,-79.390178,,,,,,1,1614
1458,1458,Queen's Park at Charles St West - Museum Station,,43.667095,-79.393602,,,,,,1,1458
9131,9131,Finch Ave East at Yonge St - Finch Station,,43.780191,-79.414106,,,,,,1,9131
11780,11780,Keele St at Bloor St West - Keele Station,,43.654873,-79.460164,,,,,,1,11780
9016,9016,Yonge St at King St West - King Station,,43.649249,-79.378022,,,,,,1,9016
3238,3238,Yonge St at Queen St East - Queen Station,,43.652319,-79.379085,,,,,,1,3238
7308,7308,Sherbourne St at Bloor St East South Side - Sherbourne Station,,43.672008,-79.376834,,,,,,1,7308
8984,8984,Yonge St at Empress Ave - North York Centre Station,,43.769149,-79.4127,,,,,,1,8984
3239,3239,Yonge St at Queen St West - Queen Station,,43.65251,-79.379408,,,,,,1,3239
7151,7151,Sheppard Ave East at Bayview Ave - Bayview Station,,43.766886,-79.387704,,,,,,1,7151
14339,14339,Markham Rd at Bur Oak Ave - Mount Joy GO Station,,43.900026,-79.265771,,,,,,1,14339
9048,9048,Yonge St at Sheppard Ave East North Side - Sheppard Station,,43.762183,-79.410937,,,,,,1,9048
9053,9053,Yonge St at St Clair Ave West - St Clair Station,,43.688281,-79.394275,,,,,,1,9053
3219,3219,Yonge St at Crescent Rd - Rosedale Station,,43.676823,-79.38938,,,,,,1,3219
10935,10935,Union Station,,43.645652,-79.37921,,,,,,1,10935
7309,7309,Sherbourne St at Bloor St East - Sherbourne Station,,43.672155,-79.376648,,,,,,1,7309
8953,8953,Yonge St at Alcorn Ave - Summerhill Station,,43.682197,-79.391779,,,,,,1,8953
9609,9609,Bushby Dr at McCowan Rd - McCowan Rt Station,,43.774745,-79.251924,,,,,,1,9609
13678,13678,Sheppard Ave East at Burbank Dr - Bessarion Station,,43.769432,-79.375993,,,,,,1,13678
3106,3106,Sheppard Ave West at Bakersfield St West Side - Downsview Park Station,,43.754319,-79.480593,,,,,,1,3106
5692,5692,Midland Ave at Midland Station,,43.770434,-79.272115,,,,,,1,5692
9066,9066,Yonge St at Wilson Ave - York Mills Station,,43.74429,-79.406957,,,,,,1,9066
2194,2194,Dundas St West at University Ave - St Patrick Station,,43.654919,-79.387813,,,,,,2,2194
9020,9020,Yonge St at Lawrence Ave West - Lawrence Station,,43.725286,-79.402385,,,,,,1,9020
10946,10946,Queens Quay/Ferry Docks Station,,43.641422,-79.377093,,,,,,1,10946
14617,14617,Bathurst Station,,43.666061,-79.411065,,,,,,1,14617
14619,14619,Bathurst Station,,43.666532,-79.411286,,,,,,2,14619
14620,14620,Leslie Station,,43.77041,-79.367644,,,,,,1,14620
14621,14621,Leslie Station,,43.770516,-79.367765,,,,,,1,14621
14623,14623,Don Mills Station,,43.776123,-79.346242,,,,,,1,14623
14624,14624,Don Mills Station,,43.776036,-79.34585,,,,,,1,14624
14625,14625,Don Mills Station,,43.775993,-79.3455,,,,,,1,14625
14626,14626,Don Mills Station,,43.776014,-79.345151,,,,,,1,14626
14628,14628,Don Mills Station,,43.775804,-79.345236,,,,,,1,14628
14629,14629,Don Mills Station,,43.775755,-79.345605,,,,,,1,14629
14630,14630,Don Mills Station,,43.775711,-79.345959,,,,,,1,14630
14631,14631,Don Mills Station,,43.775638,-79.346345,,,,,,1,14631
14632,14632,Don Mills Station,,43.775898,-79.346949,,,,,,1,14632
14633,14633,Don Mills Station,,43.775988,-79.346987,,,,,,1,14633
14635,14635,Broadview Station,,43.677011,-79.358044,,,,,,1,14635
14636,14636,Broadview Station,,43.676887,-79.358245,,,,,,1,14636
14637,14637,Broadview Station,,43.676772,-79.358451,,,,,,1,14637
14638,14638,Broadview Station,,43.676691,-79.358611,,,,,,1,14638
14639,14639,Broadview Station,,43.677013,-79.358147,,,,,,1,14639
14640,14640,Broadview Station,,43.677134,-79.358206,,,,,,1,14640
14641,14641,Castle Frank Station,,43.673452,-79.369136,,,,,,1,14641
14642,14642,Castle Frank Station,,43.673628,-79.36885,,,,,,1,14642
14643,14643,Coxwell Station,,43.684079,-79.322919,,,,,,1,14643
14644,14644,Coxwell Station,,43.684135,-79.323123,,,,,,1,14644
14646,14646,Davisville Station,,43.697799,-79.397014,,,,,,1,14646
14648,14648,Davisville Station,,43.69763,-79.396868,,,,,,1,14648
14649,14649,Donlands Station,,43.680846,-79.33779,,,,,,1,14649
14650,14650,Donlands Station,,43.681048,-79.337925,,,,,,1,14650
14651,14651,Sheppard West Station,,43.749571,-79.462186,,,,,,1,14651
14652,14652,Sheppard West Station,,43.749529,-79.462548,,,,,,1,14652
14654,14654,Sheppard West Station,,43.749353,-79.462105,,,,,,1,14654
14655,14655,Sheppard West Station,,43.749195,-79.462047,,,,,,1,14655
14656,14656,Sheppard West Station,,43.748976,-79.461968,,,,,,1,14656
14657,14657,Sheppard West Station,,43.748718,-79.461907,,,,,,1,14657
14658,14658,Sheppard West Station,,43.748826,-79.462288,,,,,,1,14658
14659,14659,Sheppard West Station,,43.749049,-79.462373,,,,,,1,14659
14660,14660,Sheppard West Station,,43.749209,-79.462434,,,,,,1,14660
